timestamp gpu_instant gpu_average
1733935257.415 124.630 123.587
1733935257.475 124.630 123.587
1733935257.535 123.613 123.651
1733935257.595 123.772 123.703
1733935257.655 123.772 123.703
1733935257.715 124.186 123.781
1733935257.775 124.186 123.781
1733935257.835 124.117 123.799
M 32.706 "end"
1733935257.896 99.016 121.538
1733935257.956 99.016 121.538
1733935258.016 34.962 113.482
1733935258.076 34.962 113.482
1733935258.136 34.362 105.382
1733935258.196 34.129 97.232
1733935258.256 34.129 97.232
1733935258.316 33.978 89.080
1733935258.376 33.978 89.080
1733935258.436 33.872 80.918
1733935258.497 33.841 72.666
1733935258.557 33.841 72.666
1733935258.617 33.750 64.494
1733935258.677 33.750 64.494
1733935258.737 33.716 56.307
1733935258.797 33.697 48.082
1733935258.857 33.697 48.082
1733935258.917 33.652 48.082
1733935258.977 33.652 48.082
1733935259.037 33.617 48.082
1733935259.098 33.640 48.082
1733935259.158 33.640 48.082
1733935259.218 33.620 48.082
1733935259.278 33.620 48.082
1733935259.338 33.579 48.082
1733935259.398 33.572 48.082
1733935259.458 33.572 48.082
1733935259.518 33.568 48.082
1733935259.578 33.568 48.082
1733935259.638 33.556 48.082
1733935259.699 29.514 48.082
1733935259.759 29.514 48.082
1733935259.819 29.226 32.837
1733935259.879 29.709 32.837
1733935259.939 29.709 32.837
1733935259.999 29.967 32.837
1733935260.059 29.967 32.837
1733935260.119 29.949 32.837
1733935260.179 29.967 32.837
1733935260.240 29.967 32.837
1733935260.300 29.926 32.837
1733935260.360 29.926 32.837
1733935260.420 29.878 32.837
1733935260.480 29.825 32.837
1733935260.540 29.825 32.837
1733935260.600 29.829 32.837
1733935260.660 29.829 32.837
1733935260.720 29.918 32.837
1733935260.780 29.904 31.319
1733935260.841 29.904 31.319
1733935260.901 29.843 31.319
1733935260.961 29.843 31.319
1733935261.021 29.829 31.319
1733935261.081 30.003 31.319
1733935261.141 30.003 31.319
1733935261.201 29.848 31.319
1733935261.261 29.848 31.319
1733935261.321 29.839 31.319
1733935261.381 29.888 31.319
1733935261.442 29.888 31.319
1733935261.502 29.719 31.319
1733935261.562 29.719 31.319
1733935261.622 29.768 31.319
1733935261.682 29.759 31.319
1733935261.742 29.759 31.319
1733935261.802 29.819 29.859
1733935261.862 29.819 29.859
1733935261.922 29.906 29.859
1733935261.982 29.903 29.859
1733935262.043 29.903 29.859
1733935262.103 29.869 29.859
1733935262.163 29.869 29.859
1733935262.223 29.791 29.859
1733935262.283 29.853 29.859
1733935262.343 29.853 29.859
1733935262.403 29.926 29.859
1733935262.463 29.926 29.859
1733935262.523 29.934 29.859
1733935262.583 29.901 29.859
1733935262.644 29.901 29.859
1733935262.704 29.891 29.859
1733935262.764 29.891 29.859
1733935262.824 29.772 29.853
